ts,run_id,component,operation,metric,value_ms,program_id,service_id
1787097113677,1787097113-663642077-10436,digital_service,request,request_total_ms,4.552808,2,health-registry-service
1787097113689,1787097113-663642077-10436,integration_process,read,read_request_response_ms,25.838100,2,health-registry-service
1787097113689,1787097113-663642077-10436,integration_process,read,read_parse_ms,0.009379,2,health-registry-service
1787097113689,1787097113-663642077-10436,integration_process,read,decrypt_ms,0.000160,2,health-registry-service
1787097113689,1787097113-663642077-10436,integration_process,read,read_act_total_ms,25.857520,2,health-registry-service
1787097113696,1787097113-663642077-10436,digital_service,post,verifyCertificate_ms,0.004960,2,hospital-service
1787097113696,1787097113-663642077-10436,digital_service,post,decrypt_ms,0.004681,2,hospital-service
1787097113716,1787097113-663642077-10436,digital_service,post,storeLocalData_ms,20.063628,2,hospital-service
1787097113717,1787097113-663642077-10436,digital_service,post,post_total_ms,20.750501,2,hospital-service
1787097113728,1787097113-663642077-10436,integration_process,write,getServicePublicKey_ms,0.000060,2,hospital-service
1787097113728,1787097113-663642077-10436,integration_process,write,encrypt_ms,0.000260,2,hospital-service
1787097113728,1787097113-663642077-10436,integration_process,write,write_request_response_ms,38.985013,2,hospital-service
1787097113728,1787097113-663642077-10436,integration_process,write,write_act_total_ms,38.992073,2,hospital-service
1787097113735,1787097113-663642077-10436,digital_service,post,verifyCertificate_ms,0.004980,2,messaging-service
1787097113735,1787097113-663642077-10436,digital_service,post,decrypt_ms,0.004060,2,messaging-service
1787097113736,1787097113-663642077-10436,digital_service,post,storeLocalData_ms,0.511390,2,messaging-service
1787097113736,1787097113-663642077-10436,digital_service,post,post_total_ms,1.088501,2,messaging-service
1787097113747,1787097113-663642077-10436,integration_process,write,getServicePublicKey_ms,0.000080,2,messaging-service
1787097113747,1787097113-663642077-10436,integration_process,write,encrypt_ms,0.000440,2,messaging-service
1787097113747,1787097113-663642077-10436,integration_process,write,write_request_response_ms,19.238772,2,messaging-service
1787097113747,1787097113-663642077-10436,integration_process,write,write_act_total_ms,19.245492,2,messaging-service
1787097113747,1787097113-663642077-10436,integration_process,execute,execute_total_ms,84.289749,2,
1787097113762,1787097113-752995663-10437,digital_service,request,verifyCertificate_ms,0.004120,2,health-registry-service
1787097113766,1787097113-752995663-10437,digital_service,request,retrieveLocalData_ms,3.889794,2,health-registry-service
1787097113767,1787097113-752995663-10437,digital_service,request,encrypt_ms,0.004620,2,health-registry-service
1787097113767,1787097113-752995663-10437,digital_service,request,request_total_ms,4.547868,2,health-registry-service
1787097113778,1787097113-752995663-10437,integration_process,read,read_request_response_ms,25.643155,2,health-registry-service
1787097113778,1787097113-752995663-10437,integration_process,read,read_parse_ms,0.009740,2,health-registry-service
1787097113778,1787097113-752995663-10437,integration_process,read,decrypt_ms,0.000160,2,health-registry-service
1787097113778,1787097113-752995663-10437,integration_process,read,read_act_total_ms,25.663237,2,health-registry-service
1787097113785,1787097113-752995663-10437,digital_service,post,verifyCertificate_ms,0.005100,2,hospital-service
1787097113785,1787097113-752995663-10437,digital_service,post,decrypt_ms,0.004080,2,hospital-service
1787097113804,1787097113-752995663-10437,digital_service,post,storeLocalData_ms,19.036467,2,hospital-service
1787097113805,1787097113-752995663-10437,digital_service,post,post_total_ms,19.685881,2,hospital-service
1787097113816,1787097113-752995663-10437,integration_process,write,getServicePublicKey_ms,0.000060,2,hospital-service
1787097113816,1787097113-752995663-10437,integration_process,write,encrypt_ms,0.000280,2,hospital-service
1787097113816,1787097113-752995663-10437,integration_process,write,write_request_response_ms,37.774870,2,hospital-service
1787097113816,1787097113-752995663-10437,integration_process,write,write_act_total_ms,37.782150,2,hospital-service
1787097113823,1787097113-752995663-10437,digital_service,post,verifyCertificate_ms,0.005180,2,messaging-service
1787097113823,1787097113-752995663-10437,digital_service,post,decrypt_ms,0.004220,2,messaging-service
1787097113824,1787097113-752995663-10437,digital_service,post,storeLocalData_ms,0.525470,2,messaging-service
1787097113824,1787097113-752995663-10437,digital_service,post,post_total_ms,1.094742,2,messaging-service
1787097113835,1787097113-752995663-10437,integration_process,write,getServicePublicKey_ms,0.000060,2,messaging-service
1787097113835,1787097113-752995663-10437,integration_process,write,encrypt_ms,0.000401,2,messaging-service
1787097113835,1787097113-752995663-10437,integration_process,write,write_request_response_ms,19.140930,2,messaging-service
1787097113835,1787097113-752995663-10437,integration_process,write,write_act_total_ms,19.146589,2,messaging-service
1787097113835,1787097113-752995663-10437,integration_process,execute,execute_total_ms,82.866080,2,
1787097113850,1787097113-841043444-10438,digital_service,request,verifyCertificate_ms,0.004139,2,health-registry-service
1787097113854,1787097113-841043444-10438,digital_service,request,retrieveLocalData_ms,3.853354,2,health-registry-service
1787097113855,1787097113-841043444-10438,digital_service,request,encrypt_ms,0.005119,2,health-registry-service
1787097113855,1787097113-841043444-10438,digital_service,request,request_total_ms,4.515607,2,health-registry-service
1787097113866,1787097113-841043444-10438,integration_process,read,read_request_response_ms,25.656216,2,health-registry-service
